Species,POINT_X,POINT_Y
bias,-72.80295,42.160062
bias,-72.79715,42.158402
bias,-72.772721,43.869405
bias,-72.662256,43.808327
bias,-72.654216,43.810707
bias,-71.69141,41.67143
bias,-71.69175,41.67233
bias,-71.69268,41.67185
bias,-69.9625,43.7725
bias,-69.632562,44.663754
bias,-71.20655,41.59388
bias,-71.20065,41.59338
bias,-71.20118,41.59331
bias,-71.1433,41.53378
bias,-71.14331,41.53375
bias,-71.14261,41.53561
bias,-71.14161,41.53876
bias,-73.23066,44.50828
bias,-73.15393,44.50818
bias,-72.48916,43.53033
bias,-72.48716,43.34983
bias,-72.487,43.34966
bias,-72.437193,43.261905
bias,-72.438363,43.260235
bias,-72.438863,43.260075
bias,-72.437863,43.259735
bias,-72.436863,43.261405
bias,-72.437033,43.261405
bias,-72.437033,43.261075
bias,-72.438193,43.260575
bias,-72.38766,43.35633
bias,-72.3875,43.35633
bias,-72.38866,43.3585
bias,-71.476118,42.282762
bias,-71.475896,42.281984
bias,-71.472868,42.283623
bias,-71.471702,42.284762
bias,-71.479729,42.275762
bias,-71.468452,42.319706
bias,-71.465896,42.3199
bias,-71.466313,42.319317
bias,-71.470702,42.320373
bias,-71.476757,42.320428
bias,-71.47498,42.318623
bias,-71.471313,42.318873
bias,-71.463451,42.320567
bias,-71.468729,42.324456
bias,-71.469118,42.325539
bias,-71.484758,42.335344
bias,-71.485924,42.333928
bias,-71.48623,42.3334
bias,-71.487563,42.332622
bias,-71.488952,42.336789
bias,-71.479702,42.331595
